event,eventLabel,startDate,endDate
http://www.wikidata.org/entity/Q121144534,Igbo-Igala Wars,1800-01-01T00:00:00Z,1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q122166552,Huéscar-Danish War,1809-01-01T00:00:00Z,1981-01-01T00:00:00Z
http://www.wikidata.org/entity/Q722051,Anglo-Ashanti wars,1823-01-01T00:00:00Z,1900-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12203897,Algerian popular resistance against French invasion,1830-01-01T00:00:00Z,1962-01-01T00:00:00Z
http://www.wikidata.org/entity/Q772814,Caste War of Yucatán,1847-01-01T00:00:00Z,1901-01-01T00:00:00Z
http://www.wikidata.org/entity/Q617827,Apache Wars,1849-01-01T00:00:00Z,1924-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2383159,Menelik II's conquests,1878-01-01T00:00:00Z,1904-01-01T00:00:00Z
http://www.wikidata.org/entity/Q7565812,South African Wars,1879-01-01T00:00:00Z,1915-01-01T00:00:00Z
http://www.wikidata.org/entity/Q18469222,Campanhas de Pacificação e Ocupação,1880-01-01T00:00:00Z,1920-01-01T00:00:00Z
http://www.wikidata.org/entity/Q31944,Mahdist War,1881-01-01T00:00:00Z,1899-01-01T00:00:00Z
http://www.wikidata.org/entity/Q126708875,Pacification of Somalia,1889-01-01T00:00:00Z,1920-01-01T00:00:00Z
http://www.wikidata.org/entity/Q19356854,Totoposte Wars,1890-01-01T00:00:00Z,1906-01-01T00:00:00Z
http://www.wikidata.org/entity/Q799801,Bafut Wars,1891-01-01T00:00:00Z,1907-01-01T00:00:00Z
http://www.wikidata.org/entity/Q106640290,Sino-Japanese Wars of 1893-1945,1894-01-01T00:00:00Z,1945-01-01T00:00:00Z
http://www.wikidata.org/entity/Q989115,First Italo-Ethiopian War,1894-12-15T00:00:00Z,1896-10-23T00:00:00Z
http://www.wikidata.org/entity/Q1514908,Cuban War of Independence,1895-01-01T00:00:00Z,1898-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1822896,Liberal Revolution of Ecuador,1895-06-05T00:00:00Z,1912-01-28T00:00:00Z
http://www.wikidata.org/entity/Q422082,Philippine Revolution,1896-01-01T00:00:00Z,1898-01-01T00:00:00Z
http://www.wikidata.org/entity/Q233657,Second Matabele War,1896-03-01T00:00:00Z,1897-10-01T00:00:00Z
http://www.wikidata.org/entity/Q170850,Anglo-Zanzibar War,1896-08-27T00:00:00Z,1896-08-27T00:00:00Z
http://www.wikidata.org/entity/Q119723768,German military expedition against Dagbon of 1896,1896-11-23T00:00:00Z,1896-12-10T00:00:00Z
http://www.wikidata.org/entity/Q123173174,Dagomba-German War,1896-11-30T00:00:00Z,1900-04-13T00:00:00Z
http://www.wikidata.org/entity/Q17025641,Tirah Campaign,1897-01-01T00:00:00Z,1898-01-01T00:00:00Z
http://www.wikidata.org/entity/Q124021534,Ngolo-German war,1897-01-01T00:00:00Z,1901-12-31T00:00:00Z
http://www.wikidata.org/entity/Q3966451,Benin Expedition of 1897,1897-02-09T00:00:00Z,1897-02-21T00:00:00Z
http://www.wikidata.org/entity/Q657055,Greco-Turkish War of 1897,1897-04-17T00:00:00Z,1897-05-20T00:00:00Z
http://www.wikidata.org/entity/Q4120277,Second Samoan Civil War,1898-01-01T00:00:00Z,1899-01-01T00:00:00Z
http://www.wikidata.org/entity/Q768496,Banana Wars,1898-01-01T00:00:00Z,1934-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12583,Spanish–American War,1898-04-25T00:00:00Z,1898-08-11T00:00:00Z
http://www.wikidata.org/entity/Q5887712,Federal Revolution of 1899,1898-11-06T00:00:00Z,1899-04-10T00:00:00Z
http://www.wikidata.org/entity/Q64019384,Fulbe War,1899-01-01T00:00:00Z,1902-01-01T00:00:00Z
http://www.wikidata.org/entity/Q214456,Philippine–American War,1899-02-04T00:00:00Z,1902-07-02T00:00:00Z
http://www.wikidata.org/entity/Q43378,Thousand Days' War,1899-10-17T00:00:00Z,1902-11-21T00:00:00Z
http://www.wikidata.org/entity/Q215112,Second Boer War,1899-10-23T00:00:00Z,1902-05-31T00:00:00Z
